temperature_c,marketing_spend_k,discount_pct,demand_index
22.7529,1.3918,11.2987,77.1936
30.9164,9.2766,19.1149,75.7185
27.2706,2.0074,7.744,70.9987
10.7562,2.0319,14.2961,76.9277
13.005,2.0029,15.7402,75.8278
30.2066,1.4345,18.9304,66.3201
4.158,10.9235,6.095,72.0379
28.6369,3.5963,28.8615,72.6398
27.9121,4.0237,8.6741,70.3998
18.038,10.0771,9.1806,86.9993
13.091,7.6291,7.6894,82.2849
12.3528,2.6521,2.0243,75.1924
11.6461,5.5004,12.6877,81.6487
17.3523,10.6651,23.1551,90.7645
19.1364,4.8168,21.287,81.2431
20.6049,8.6751,5.8672,86.8086
33.865,1.6133,4.108,59.2454
27.7799,8.8642,9.6428,77.7446
22.6654,9.4294,23.0477,86.4903
33.6688,9.9963,14.6423,70.988
10.4593,8.2533,27.6955,75.8099
8.8064,4.7634,19.6915,75.2483
22.3762,1.2384,18.6272,73.2672
5.3183,6.4659,23.0307,70.9704
5.0704,9.2108,22.5077,74.6933
19.4467,2.6946,10.3151,81.0748
17.9862,3.5617,7.7103,84.2179
31.515,6.6654,13.1286,72.0757
22.8768,9.1058,14.6774,83.3754
19.4235,10.8107,4.2517,85.4733
18.9062,1.946,13.24,77.9697
11.4254,2.6191,19.1947,74.2122
4.3538,9.6947,4.0714,72.3375
9.7721,7.912,4.1411,76.866
24.761,8.7912,5.2116,78.213
10.0182,11.9629,8.4999,83.6514
15.0861,11.3006,28.8513,85.5524
4.112,10.1948,0.7737,70.6032
28.9014,9.4368,5.5122,76.5448
8.6338,5.0427,4.9514,75.0212
12.028,7.8741,14.2304,83.4726
30.41,2.6211,0.4522,66.5049
19.2937,9.2342,13.7452,88.9424
29.4145,9.2134,4.8877,75.89
23.1915,8.7949,8.0892,85.0279
26.2531,5.6152,23.7732,75.4739
6.7449,4.8491,5.522,70.915
20.2343,5.3274,18.5139,84.0847
19.2332,0.8834,12.1894,76.5624
30.1402,10.2097,12.5279,74.5644
14.8379,6.7373,24.5054,86.7541
21.9455,4.9565,4.8274,81.0233
5.7775,6.8023,27.7143,69.3852
15.629,8.7989,26.8047,82.4453
13.6911,4.8868,20.0497,81.6188
8.506,10.0524,1.4834,76.2256
28.4901,11.0738,19.8993,78.5281
15.3834,4.9555,18.0104,83.8698
33.3624,2.0849,23.1662,62.0249
21.6998,9.2443,6.4149,86.3683
22.1517,11.9189,28.6007,84.3498
23.1399,2.2019,26.5859,75.6742
24.2935,8.6958,3.4307,82.9782
8.5236,9.9912,9.4561,83.791
17.2094,11.0866,0.9733,83.6668
11.1869,1.9189,24.9284,72.455
16.0749,1.5558,27.4528,74.4897
6.9011,11.8605,29.6943,76.9653
33.0348,1.8427,18.3578,61.751
10.4501,2.5333,19.9796,73.9118
24.153,7.112,20.3522,82.75
13.0126,5.6321,17.1045,80.8555
30.2223,9.1295,28.5727,71.8577
23.8664,2.6914,18.2358,77.0489
7.9485,11.0159,10.0718,75.7733
29.3522,2.9977,15.3863,68.5482
32.3484,9.3448,0.5599,68.5744
31.1175,1.2774,21.7238,64.2887
21.0916,5.9441,20.8176,84.1048
8.3638,0.8744,12.6315,64.3681
9.7739,4.1088,25.5444,74.2594
31.8372,4.0907,22.6658,69.8811
20.5698,8.7771,10.1005,87.8081
9.4166,5.7327,2.3249,74.5202
30.5217,1.1529,3.9667,60.8587
23.2472,11.9467,5.5282,86.4427
21.0908,10.72,9.1175,86.619
15.2886,11.0377,13.4255,86.5274
16.3287,3.3356,27.8399,78.2052
11.1847,5.0323,8.3525,81.1013
5.1417,3.1126,26.9576,66.7831
30.2866,1.9364,20.4139,69.1598
18.0319,0.8798,25.6048,74.1495
20.4291,6.2884,12.0976,86.8329
13.6649,1.916,0.0983,71.7963
26.5397,2.5275,23.609,72.9272
4.7559,10.3955,7.3643,78.0074
15.1656,6.0688,4.2744,83.621
4.9105,2.6126,23.9847,65.348
7.6868,8.2034,20.5899,77.2464
33.0144,3.5574,6.3725,65.9678
23.7328,6.5598,8.0275,83.9861
16.8466,3.754,28.1766,79.4249
19.7122,6.4359,8.0561,81.8358
30.1843,7.7281,21.0722,74.3732
